Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,604,1.0,0.0,0.0,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.05,0.0513,0.0507,0.0563,604,0.94,0.0,0.0596,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.1,0.101,0.101,0.0986,604,0.886,0.0,0.114,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.15,0.147,0.146,0.155,604,0.834,0.0,0.166,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.2,0.199,0.199,0.197,604,0.778,0.0,0.222,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.25,0.25,0.25,0.254,604,0.715,0.0,0.285,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.3,0.301,0.3,0.31,604,0.664,0.0,0.336,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.35,0.349,0.349,0.352,604,0.613,0.0,0.387,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.4,0.401,0.4,0.408,604,0.556,0.0,0.444,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.45,0.45,0.448,0.465,604,0.493,0.0,0.507,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.5,0.5,0.499,0.507,604,0.432,0.0,0.568,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.55,0.551,0.552,0.549,604,0.364,0.0,0.636,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.6,0.604,0.606,0.592,604,0.296,0.0,0.704,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.65,0.646,0.647,0.634,604,0.235,0.0,0.765,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.7,0.697,0.7,0.676,604,0.159,0.0,0.841,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.75,0.747,0.747,0.746,604,0.0662,0.0,0.934,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.8,0.793,0.795,0.775,604,0.0,0.0232,0.977,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.85,0.846,0.848,0.831,604,0.0,0.129,0.871,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.9,0.897,0.897,0.901,604,0.0,0.272,0.728,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
0.95,0.947,0.947,0.944,604,0.0,0.43,0.57,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
1.0,1.0,1.0,1.0,604,0.0,1.0,0.0,0.793,0.145,0.929,0.574,0.0232,0.977,6455,-1,ICP,8,123456789
