Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,604,1.0,0.0,0.0,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.05,0.0215,0.0206,0.0282,604,0.97,0.0,0.0298,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.1,0.0497,0.045,0.0845,604,0.937,0.0,0.0629,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.15,0.0844,0.0807,0.113,604,0.901,0.0,0.0993,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.2,0.124,0.12,0.155,604,0.856,0.0,0.144,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.25,0.171,0.165,0.211,604,0.803,0.0,0.197,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.3,0.217,0.212,0.254,604,0.75,0.0,0.25,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.35,0.27,0.263,0.324,604,0.694,0.0,0.306,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.4,0.323,0.31,0.423,604,0.632,0.0,0.368,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.45,0.369,0.36,0.437,604,0.579,0.0,0.421,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.5,0.409,0.402,0.465,604,0.533,0.0,0.467,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.55,0.465,0.456,0.535,604,0.464,0.0,0.536,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.6,0.513,0.497,0.634,604,0.387,0.0,0.613,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.65,0.578,0.565,0.676,604,0.301,0.0,0.699,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.7,0.632,0.617,0.746,604,0.224,0.0,0.776,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.75,0.687,0.674,0.789,604,0.119,0.0,0.881,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.8,0.742,0.73,0.831,604,0.0116,0.0,0.988,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.85,0.793,0.775,0.93,604,0.0,0.132,0.868,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.9,0.848,0.831,0.972,604,0.0,0.382,0.618,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
0.95,0.912,0.902,0.986,604,0.0,0.649,0.351,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
1.0,1.0,1.0,1.0,604,0.0,1.0,0.0,0.742,0.163,0.919,0.516,0.0,0.988,6455,-1,A1,55,123456789
