Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,549,1.0,0.0,0.0,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.05,0.0492,0.0503,0.0435,549,0.945,0.0,0.0546,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.1,0.1,0.101,0.0978,549,0.887,0.0,0.113,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.15,0.151,0.149,0.163,549,0.827,0.0,0.173,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.2,0.195,0.197,0.185,549,0.77,0.0,0.23,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.25,0.25,0.249,0.25,549,0.694,0.0,0.306,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.3,0.299,0.298,0.304,549,0.603,0.0,0.397,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.35,0.352,0.35,0.359,549,0.536,0.0,0.464,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.4,0.395,0.396,0.391,549,0.477,0.0,0.523,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.45,0.452,0.453,0.446,549,0.401,0.0,0.599,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.5,0.497,0.499,0.489,549,0.337,0.0,0.663,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.55,0.55,0.549,0.554,549,0.25,0.0,0.75,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.6,0.605,0.604,0.609,549,0.16,0.0,0.84,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.65,0.647,0.646,0.652,549,0.0546,0.0,0.945,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.7,0.698,0.696,0.707,549,0.0,0.0528,0.947,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.75,0.75,0.753,0.739,549,0.0,0.175,0.825,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.8,0.796,0.799,0.783,549,0.0,0.322,0.678,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.85,0.852,0.853,0.848,549,0.0,0.517,0.483,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.9,0.9,0.899,0.902,549,0.0,0.685,0.315,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
0.95,0.954,0.954,0.957,549,0.0,0.816,0.184,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
1.0,1.0,1.0,1.0,549,0.0,1.0,0.0,0.796,0.282,0.847,0.629,0.322,0.678,5729,-1,ICP,13,123456789
