Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,549,1.0,0.0,0.0,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.05,0.0419,0.0394,0.0543,549,0.951,0.0,0.0492,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.1,0.0911,0.0897,0.0978,549,0.898,0.0,0.102,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.15,0.133,0.136,0.12,549,0.852,0.0,0.148,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.2,0.188,0.19,0.174,549,0.783,0.0,0.217,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.25,0.246,0.252,0.217,549,0.709,0.0,0.291,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.3,0.299,0.302,0.283,549,0.632,0.0,0.368,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.35,0.355,0.357,0.348,549,0.565,0.0,0.435,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.4,0.403,0.407,0.38,549,0.495,0.0,0.505,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.45,0.45,0.455,0.424,549,0.421,0.0,0.579,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.5,0.497,0.497,0.5,549,0.355,0.0,0.645,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.55,0.561,0.562,0.554,549,0.268,0.0,0.732,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.6,0.605,0.606,0.598,549,0.195,0.0,0.805,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.65,0.652,0.652,0.652,549,0.1,0.0,0.9,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.7,0.707,0.705,0.717,549,0.00729,0.0455,0.947,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.75,0.754,0.748,0.783,549,0.0,0.184,0.816,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.8,0.811,0.803,0.848,549,0.0,0.381,0.619,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.85,0.865,0.858,0.902,549,0.0,0.581,0.419,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.9,0.927,0.912,1.0,549,0.0,0.865,0.135,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
0.95,0.969,0.963,1.0,549,0.0,0.923,0.0765,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
1.0,1.0,1.0,1.0,549,0.0,1.0,0.0,0.811,0.285,0.825,0.615,0.381,0.619,5729,-1,AT,110,123456789
