Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,604,1.0,0.0,0.0,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.05,0.0464,0.0394,0.0986,604,0.94,0.0,0.0596,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.1,0.096,0.0919,0.127,604,0.887,0.0,0.113,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.15,0.152,0.154,0.141,604,0.831,0.0,0.169,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.2,0.192,0.195,0.169,604,0.786,0.0,0.214,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.25,0.238,0.238,0.239,604,0.738,0.0,0.262,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.3,0.286,0.287,0.282,604,0.679,0.0,0.321,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.35,0.339,0.341,0.324,604,0.621,0.0,0.379,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.4,0.399,0.4,0.394,604,0.555,0.0,0.445,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.45,0.454,0.456,0.437,604,0.488,0.0,0.512,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.5,0.498,0.495,0.521,604,0.434,0.0,0.566,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.55,0.546,0.544,0.563,604,0.361,0.0,0.639,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.6,0.606,0.602,0.634,604,0.28,0.0,0.72,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.65,0.651,0.645,0.69,604,0.209,0.0,0.791,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.7,0.709,0.707,0.718,604,0.127,0.0,0.873,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.75,0.767,0.762,0.803,604,0.0315,0.0,0.969,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.8,0.808,0.801,0.859,604,0.0,0.0646,0.935,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.85,0.876,0.865,0.958,604,0.0,0.404,0.596,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.9,0.907,0.895,1.0,604,0.0,0.841,0.159,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
0.95,0.955,0.949,1.0,604,0.0,0.911,0.0894,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
1.0,1.0,1.0,1.0,604,0.0,1.0,0.0,0.808,0.214,0.861,0.578,0.0646,0.935,6455,-1,AT,76,123456789
