Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,604,1.0,0.0,0.0,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.05,0.0414,0.0319,0.113,604,0.945,0.0,0.0546,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.1,0.0911,0.0863,0.127,604,0.889,0.0,0.111,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.15,0.134,0.128,0.183,604,0.844,0.0,0.156,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.2,0.185,0.186,0.183,604,0.785,0.0,0.215,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.25,0.233,0.235,0.225,604,0.728,0.0,0.272,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.3,0.283,0.287,0.254,604,0.671,0.0,0.329,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.35,0.338,0.345,0.282,604,0.598,0.0,0.402,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.4,0.391,0.394,0.366,604,0.53,0.0,0.47,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.45,0.435,0.435,0.437,604,0.459,0.0,0.541,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.5,0.485,0.48,0.521,604,0.384,0.0,0.616,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.55,0.54,0.537,0.563,604,0.306,0.0,0.694,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.6,0.594,0.591,0.62,604,0.22,0.0,0.78,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.65,0.646,0.642,0.676,604,0.127,0.0,0.873,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.7,0.705,0.7,0.746,604,0.0281,0.0149,0.957,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.75,0.767,0.76,0.817,604,0.0,0.114,0.886,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.8,0.805,0.794,0.887,604,0.0,0.25,0.75,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.85,0.873,0.865,0.93,604,0.0,0.601,0.399,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.9,0.924,0.914,1.0,604,0.0,0.881,0.119,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
0.95,0.964,0.959,1.0,604,0.0,0.935,0.0646,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
1.0,1.0,1.0,1.0,604,0.0,1.0,0.0,0.805,0.27,0.833,0.6,0.25,0.75,0,-1,A2,15,123456789
