Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,549,1.0,0.0,0.0,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.05,0.0455,0.0394,0.0761,549,0.934,0.0,0.0656,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.1,0.0929,0.0941,0.087,549,0.88,0.0,0.12,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.15,0.124,0.123,0.13,549,0.845,0.0,0.155,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.2,0.173,0.175,0.163,549,0.785,0.0,0.215,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.25,0.226,0.228,0.217,549,0.714,0.0,0.286,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.3,0.271,0.269,0.283,549,0.658,0.0,0.342,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.35,0.339,0.341,0.326,549,0.554,0.0,0.446,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.4,0.379,0.376,0.391,549,0.483,0.0,0.517,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.45,0.443,0.44,0.457,549,0.373,0.0,0.627,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.5,0.497,0.497,0.5,549,0.271,0.0,0.729,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.55,0.57,0.571,0.565,549,0.14,0.0,0.86,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.6,0.612,0.615,0.598,549,0.0492,0.00729,0.944,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.65,0.65,0.648,0.663,549,0.00911,0.0619,0.929,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.7,0.698,0.691,0.728,549,0.0,0.149,0.851,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.75,0.758,0.746,0.815,549,0.0,0.29,0.71,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.8,0.807,0.799,0.848,549,0.0,0.452,0.548,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.85,0.863,0.853,0.913,549,0.0,0.679,0.321,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.9,0.923,0.908,1.0,549,0.0,0.871,0.129,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
0.95,0.974,0.969,1.0,549,0.0,0.949,0.051,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
1.0,1.0,1.0,1.0,549,0.0,1.0,0.0,0.807,0.342,0.801,0.641,0.452,0.548,0,-1,A2,17,123456789
