Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,604,1.0,0.0,0.0,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.05,0.0348,0.0338,0.0423,604,0.957,0.0,0.043,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.1,0.0695,0.0675,0.0845,604,0.917,0.0,0.0828,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.15,0.111,0.107,0.141,604,0.873,0.0,0.127,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.2,0.156,0.152,0.183,604,0.821,0.0,0.179,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.25,0.207,0.205,0.225,604,0.767,0.0,0.233,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.3,0.253,0.251,0.268,604,0.712,0.0,0.288,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.35,0.306,0.302,0.338,604,0.654,0.0,0.346,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.4,0.354,0.345,0.423,604,0.601,0.0,0.399,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.45,0.401,0.394,0.451,604,0.548,0.0,0.452,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.5,0.45,0.447,0.479,604,0.49,0.0,0.51,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.55,0.497,0.49,0.549,604,0.43,0.0,0.57,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.6,0.563,0.555,0.62,604,0.341,0.0,0.659,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.65,0.611,0.604,0.662,604,0.272,0.0,0.728,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.7,0.662,0.657,0.704,604,0.194,0.0,0.806,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.75,0.722,0.717,0.761,604,0.0911,0.0,0.909,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.8,0.765,0.758,0.817,604,0.00497,0.00497,0.99,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.85,0.816,0.809,0.873,604,0.0,0.104,0.896,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.9,0.879,0.869,0.958,604,0.0,0.291,0.709,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
0.95,0.94,0.936,0.972,604,0.0,0.594,0.406,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
1.0,1.0,1.0,1.0,604,0.0,1.0,0.0,0.765,0.152,0.926,0.541,0.00497,0.99,6455,-1,A2_CE,58,123456789
